id,name,category,cost,effect,persistent,tooltip,art_notes
M_CAMPFIRE,Campfire,Structure,2 Wood + 1 Cloth,Persistent. Place at any tile. Counts as Fire for all there.,Y,Smokes a little.,Stones around fire
M_WATCHTOWER,Watchtower,Structure,3 Wood + 2 Metal,Persistent. From this tile see top of Threat deck.,Y,A high vantage.,Wooden tower platform
M_RABBIT_FOOT,Rabbit's Foot,Comfort/Special,1 Cloth + 1 Food,Persistent. Once per game: reroll any 1 die.,Y,Lucky.,Furry keychain
M_THERMOS,Thermos,Tool,1 Metal + 1 Cloth,Persistent. Carry 1 cooked Recipe for later use.,Y,Stays warm.,Stainless thermos
M_ENERGY_DRINK_CASE,Case of Energy Drinks,Food,2 Energy Drink + 1 Cloth,Persistent. Provides 1 Energy Drink per Dawn (use or lose).,Y,Renewable Sanity.,Cardboard 6-pack
M_SCHOOL_BELL,School Bell,Special,1 Metal,Single-use. Move the Doom marker -1.,N,A small ritual.,Brass hand-bell
M_LOCKPICK,Lockpick Set,Tool,1 Metal + 1 Cloth,Persistent. Pry: free action to open sealed/locked things.,Y,Same as Crowbar pry without the +1 attack.,Tension wrench and pick
M_FRIENDSHIP_BRACELET,Friendship Bracelet,Comfort,1 Cloth,Single-use. Give to any ally: they gain +2 Sanity.,N,Made it together.,Woven thread
M_NOTEBOOK,Notebook & Pen,Tool,1 Cloth + 1 Wood,Persistent. Track ongoing effects (also a flavorful prop). Once per game peek any deck.,Y,Mostly for the player.,Leather notebook
M_PRY_BAR,Pry Bar,Tool,1 Metal,Persistent. Pry only (no combat bonus).,Y,Cheaper than a Crowbar.,Short metal pry bar
M_BICYCLE,Bicycle,Tool,2 Metal + 1 Wood + 1 Cloth,Persistent. Move actions cost 0 Hunger.,Y,Roll faster than the dark.,Old bike with a basket
