id,name,type,hp,attack,severity,special,art_notes
T_FIRE_OUT,A Fire That Won't Take,Soft,0,0,2,All Fire light sources disabled this Night.,Flint sparks failing
T_FOG_BANK,Fog Bank,Persistent,0,0,3,Persistent: Movement actions at this tile cost +1 action. Visibility zero.,Thick grey fog swallowing a street corner
T_NEST,The Nest,Persistent,0,0,4,Persistent: At each Night spawns 1 additional Hard threat at this tile. Destroy with 2 actions + 1 Wood (burn it).,A pulsing mass of web and bone in a corner
T_CONTAMINATED,Contaminated Water,Persistent,0,0,3,Persistent: No Food can be gathered at this tile. Eating raw food here costs 2 Sanity instead of 1.,Dark liquid pooling from a cracked pipe
T_LOCKED_ROOM,The Locked Room,Persistent,0,0,2,Persistent: One player's Item card is sealed inside. Spend 1 action + Crowbar to recover it. Otherwise lost.,A door with seven deadbolts from the inside
T_MIMIC,The Mimic,Hard,3,2,3,Disguised as a resource token. On reveal: attacks the player who gathered here last. Cannot be attacked at range.,A resource token with teeth and one blinking eye
T_SWARM,Rat Swarm,Hard,2,1,2,Splits on hit: when reduced to 1 HP it becomes two 1-HP Crawling Hands at adjacent tiles.,A tide of tiny dark shapes pouring from a grate
T_SCARECROW,The Scarecrow,Hard,4,1,3,Immune to ranged attacks. While in play: Gather actions at this tile cost +1 Sanity.,A straw figure nailed to a fence post with burlap head
T_CEILING_DRIP,Something Dripping from Above,Soft,0,0,2,Player at this tile loses 1 Health. Discard. (You don't look up.),A dark stain spreading across a ceiling
T_DOPPELGANGER,The Doppelganger,Hard,4,2,4,Takes the form of a random player's character. Players must roll Sanity d8 before attacking (5+ = can act; 1-4 = hesitate and lose 1 Sanity).,Two identical silhouettes facing each other
T_WALL_CRAWLER,Wall Crawler,Hard,2,2,2,Fast: attacks before players can react. Deals damage immediately on draw then fights normally.,Something flat moving along the wall like a stain
T_GLASS_CHILD,The Glass Child,Hard,3,1,3,Cannot be attacked with weapons. Must be calmed: spend 1 Comfort item or 2 Sanity to remove. Otherwise deals 2 Sanity damage per Night.,A translucent child shape with cracks spreading from its chest
T_FURNACE,The Furnace Woke Up,Soft,0,0,2,All players at house tiles lose 1 Health from heat. Discard.,A basement furnace door glowing orange
T_CLOCK_STOPS,Every Clock Stopped,Soft,0,0,2,Day phase ends 1 action early for all players tomorrow.,Until next Dawn: all players get -1 action.,A row of clocks all showing different wrong times
T_ROOTS,Roots Through the Floor,Persistent,0,0,3,Persistent: This tile cannot be barricaded. Rest actions here restore nothing.,Thick black roots cracking through linoleum and floorboards
T_ECHO,The Echo,Soft,0,0,2,Repeat the effect of the last Soft threat that was discarded. If none: lose 1 Sanity.,A ripple in the air shaped like a mouth
T_MOTH_CLOUD,Moth Cloud,Soft,0,0,2,All light sources at this tile are disabled for the rest of this Night. Discard.,A choking cloud of pale moths around a light bulb
T_THING_IN_ATTIC,The Thing in the Attic,Hard,5,1,3,Can only be fought at house tiles. Retreats to attic between attacks — must spend 1 action to find it before each Fight.,A trapdoor in a ceiling with something peering out
T_WATCHER,The Watcher,Persistent,0,0,2,Persistent: While in play all players at this tile cannot trade. It watches. It remembers.,A single unblinking eye mounted in a wall like a painting
